x,y
4.310586893605885983e+00,2.261104665570443650e+00
4.275373646147822448e+00,2.271979921204027697e+00
4.238035543603248634e+00,2.283018243382786583e+00
4.191464309800619681e+00,2.279691629603713743e+00
4.109661617826850133e+00,2.297453554805362064e+00
4.055373358612109236e+00,2.291368654084244838e+00
4.007532819438790916e+00,2.299642625066646850e+00
3.958289484627717236e+00,2.306911734859357299e+00
3.786088252887779504e+00,2.305612936288085280e+00
3.566584598751264323e+00,2.300588800605186002e+00
3.457056418429024891e+00,2.286822794603215137e+00
2.550601443250476219e+00,2.439680276317099938e+00
-3.326230654043487611e+00,1.796937778088642190e+00
3.705793585556667935e+00,1.516550364438004284e+00
2.433922897019579423e+00,-6.246720054920720244e-01
2.581742079844993931e+00,-6.448881190919726336e-01
2.702260683038968381e+00,-6.858286148869723320e-01
3.174104357009604804e+00,-7.135643694093336542e-01
3.270293811240497561e+00,-7.587512527050872535e-01
3.327611723672920352e+00,-7.660207405068879538e-01
3.387800128141380096e+00,-7.669354432582773384e-01
3.440959118102630221e+00,-7.777385869330606383e-01
3.545079239600739118e+00,-7.996133767025739303e-01
3.597040027339520663e+00,-8.089877529976008397e-01
3.654680755861260621e+00,-8.056799783526771286e-01
3.748568149940767924e+00,-8.391275236793118708e-01
3.798592051580513385e+00,-8.481379924263721115e-01
4.640197583905060874e+00,-1.219688136071597651e+00
4.691968106101108482e+00,-1.224095520749167942e+00
4.744159952838979954e+00,-1.221609023242386627e+00
4.847606862739907818e+00,-1.232888176856390849e+00
4.899518671481160048e+00,-1.242673639471990832e+00
4.951684044094814219e+00,-1.245551583811771668e+00
5.003887016938887378e+00,-1.245518362171671001e+00
5.108367155793749781e+00,-1.243714616190814581e+00
5.216850171413139670e+00,-1.279059276547757307e+00
5.269453490685962471e+00,-1.272400174426790098e+00
5.376771705262168410e+00,-1.273148044995304318e+00
5.430701856286674456e+00,-1.272579371413661509e+00
5.486227610397143906e+00,-1.278907749005845140e+00
5.598169449300399059e+00,-1.287505770232120206e+00
5.650034731520849007e+00,-1.271296444755472876e+00
5.687898884865459692e+00,-1.201953572150857408e+00
5.731924025247336019e+00,-1.162077487275063881e+00
5.827708590284113477e+00,-1.115721304819768722e+00
5.870454365719004031e+00,-1.078573013965907101e+00
5.914870516289945535e+00,-1.048344765402635215e+00
6.078382036778487318e+00,-9.060848189069519165e-01
6.134047238491982412e+00,-9.063469408732736099e-01
6.171901977103487091e+00,-8.676009969662072940e-01
6.253942477878617900e+00,-8.063235165966142759e-01
6.290106422847090428e+00,-7.677092791271449279e-01
6.328298548644075261e+00,-7.338294733153611915e-01
6.407105674575494625e+00,-6.720537311588499207e-01
